year,state,median_salary
1984,Alabama,45510
1985,Alabama,46610
1986,Alabama,47860
1987,Alabama,47750
1988,Alabama,46550
1989,Alabama,47570
1990,Alabama,49790
1991,Alabama,50080
1992,Alabama,51770
1993,Alabama,49100
1994,Alabama,52100
1995,Alabama,48640
1996,Alabama,55250
1997,Alabama,57010
1998,Alabama,63860
1999,Alabama,62540
2000,Alabama,59070
2001,Alabama,57340
2002,Alabama,60570
2003,Alabama,58790
2004,Alabama,56390
2005,Alabama,55580
2006,Alabama,55180
2007,Alabama,59840
2008,Alabama,60810
2009,Alabama,54890
2010,Alabama,55440
2011,Alabama,55940
2012,Alabama,56010
2013,Alabama,60250
2014,Alabama,53070
2015,Alabama,55920
2016,Alabama,58800
2017,Alabama,62250
2018,Alabama,59900
2019,Alabama,66430
2020,Alabama,63980
2021,Alabama,63750
2022,Alabama,62290
2023,Alabama,60660
1984,Alaska,85070
1985,Alaska,88440
1986,Alaska,78440
1987,Alaska,80410
1988,Alaska,77240
1989,Alaska,80480
1990,Alaska,83770
1991,Alaska,83530
1992,Alaska,83850
1993,Alaska,84030
1994,Alaska,86900
1995,Alaska,89740
1996,Alaska,96220
1997,Alaska,85660
1998,Alaska,89260
1999,Alaska,88670
2000,Alaska,88130
2001,Alaska,93550
2002,Alaska,85010
2003,Alaska,81790
2004,Alaska,84760
2005,Alaska,83620
2006,Alaska,82020
2007,Alaska,89290
2008,Alaska,87500
2009,Alaska,84570
2010,Alaska,78340
2011,Alaska,75440
2012,Alaska,82020
2013,Alaska,92270
2014,Alaska,84900
2015,Alaska,94360
2016,Alaska,94290
2017,Alaska,95440
2018,Alaska,82450
2019,Alaska,92670
2020,Alaska,87440
2021,Alaska,90850
2022,Alaska,93310
2023,Alaska,98190
1984,Arizona,56330
1985,Arizona,60710
1986,Arizona,63790
1987,Arizona,64720
1988,Arizona,61680
1989,Arizona,63820
1990,Arizona,62290
1991,Arizona,63220
1992,Arizona,58890
1993,Arizona,59720
1994,Arizona,59940
1995,Arizona,57750
1996,Arizona,57680
1997,Arizona,58440
1998,Arizona,65310
1999,Arizona,63820
2000,Arizona,66340
2001,Arizona,69640
2002,Arizona,64000
2003,Arizona,64960
2004,Arizona,67500
2005,Arizona,67690
2006,Arizona,67830
2007,Arizona,66930
2008,Arizona,64150
2009,Arizona,62790
2010,Arizona,63510
2011,Arizona,63860
2012,Arizona,60620
2013,Arizona,66980
2014,Arizona,61830
2015,Arizona,65640
2016,Arizona,71100
2017,Arizona,73060
2018,Arizona,74710
2019,Arizona,83540
2020,Arizona,78480
2021,Arizona,79310
2022,Arizona,76370
2023,Arizona,82660
1984,Arkansas,41210
1985,Arkansas,44370
1986,Arkansas,46850
1987,Arkansas,45550
1988,Arkansas,47070
1989,Arkansas,47910
1990,Arkansas,48570
1991,Arkansas,48200
1992,Arkansas,47900
1993,Arkansas,45100
1994,Arkansas,48970
1995,Arkansas,48310
1996,Arkansas,49450
1997,Arkansas,46700
1998,Arkansas,48710
1999,Arkansas,51210
2000,Arkansas,49520
2001,Arkansas,54370
2002,Arkansas,52170
2003,Arkansas,50500
2004,Arkansas,53850
2005,Arkansas,54840
2006,Arkansas,53880
2007,Arkansas,57830
2008,Arkansas,54130
2009,Arkansas,50160
2010,Arkansas,52260
2011,Arkansas,54250
2012,Arkansas,50280
2013,Arkansas,50130
2014,Arkansas,56390
2015,Arkansas,53770
2016,Arkansas,57170
2017,Arkansas,60880
2018,Arkansas,59720
2019,Arkansas,64470
2020,Arkansas,59400
2021,Arkansas,56870
2022,Arkansas,56120
2023,Arkansas,63250
1984,California,66480
1985,California,68600
1986,California,72570
1987,California,72940
1988,California,70670
1989,California,73780
1990,California,70960
1991,California,69240
1992,California,70010
1993,California,66700
1994,California,67680
1995,California,69250
1996,California,70760
1997,California,70850
1998,California,72080
1999,California,75270
2000,California,78070
2001,California,77080
2002,California,76410
2003,California,77790
2004,California,75770
2005,California,77430
2006,California,80430
2007,California,79000
2008,California,77960
2009,California,77070
2010,California,73520
2011,California,70100
2012,California,73480
2013,California,77400
2014,California,75930
2015,California,79940
2016,California,82980
2017,California,85710
2018,California,84560
2019,California,92330
2020,California,90840
2021,California,91350
2022,California,88690
2023,California,89870
1984,Colorado,67830
1985,Colorado,71660
1986,Colorado,68020
1987,Colorado,64060
1988,Colorado,61170
1989,Colorado,59920
1990,Colorado,65510
1991,Colorado,64790
1992,Colorado,65160
1993,Colorado,67510
1994,Colorado,72470
1995,Colorado,76170
1996,Colorado,74660
1997,Colorado,77170
1998,Colorado,82050
1999,Colorado,83110
2000,Colorado,80450
2001,Colorado,80560
2002,Colorado,77790
2003,Colorado,78800
2004,Colorado,78330
2005,Colorado,75470
2006,Colorado,80970
2007,Colorado,86670
2008,Colorado,83330
2009,Colorado,76790
2010,Colorado,81570
2011,Colorado,77010
2012,Colorado,73780
2013,Colorado,86470
2014,Colorado,76500
2015,Colorado,83660
2016,Colorado,87870
2017,Colorado,91760
2018,Colorado,87610
2019,Colorado,85700
2020,Colorado,98010
2021,Colorado,95130
2022,Colorado,93510
2023,Colorado,96640
1984,Connecticut,78740
1985,Connecticut,79050
1986,Connecticut,81850
1987,Connecticut,79510
1988,Connecticut,84500
1989,Connecticut,94600
1990,Connecticut,82850
1991,Connecticut,86700
1992,Connecticut,81920
1993,Connecticut,77350
1994,Connecticut,78720
1995,Connecticut,75310
1996,Connecticut,76790
1997,Connecticut,78510
1998,Connecticut,81890
1999,Connecticut,87280
2000,Connecticut,83670
2001,Connecticut,87000
2002,Connecticut,86000
2003,Connecticut,86730
2004,Connecticut,84820
2005,Connecticut,85030
2006,Connecticut,90730
2007,Connecticut,90920
2008,Connecticut,88440
2009,Connecticut,89030
2010,Connecticut,89380
2011,Connecticut,85920
2012,Connecticut,82790
2013,Connecticut,88220
2014,Connecticut,88080
2015,Connecticut,91570
2016,Connecticut,94540
2017,Connecticut,90930
2018,Connecticut,87340
2019,Connecticut,103200
2020,Connecticut,92930
2021,Connecticut,90660
2022,Connecticut,94340
2023,Connecticut,92240
1984,Delaware,67880
1985,Delaware,58430
1986,Delaware,64100
1987,Delaware,70760
1988,Delaware,71180
1989,Delaware,71680
1990,Delaware,65660
1991,Delaware,67020
1992,Delaware,71570
1993,Delaware,70590
1994,Delaware,68720
1995,Delaware,65360
1996,Delaware,71670
1997,Delaware,76810
1998,Delaware,73000
1999,Delaware,80440
2000,Delaware,83990
2001,Delaware,80890
2002,Delaware,79980
2003,Delaware,77350
2004,Delaware,73970
2005,Delaware,76650
2006,Delaware,76240
2007,Delaware,77380
2008,Delaware,69330
2009,Delaware,71550
2010,Delaware,74780
2011,Delaware,71800
2012,Delaware,63110
2013,Delaware,68870
2014,Delaware,72210
2015,Delaware,72560
2016,Delaware,72280
2017,Delaware,79500
2018,Delaware,77990
2019,Delaware,87700
2020,Delaware,81920
2021,Delaware,76920
2022,Delaware,83960
2023,Delaware,86340
1984,District of Columbia,53650
1985,District of Columbia,53590
1986,District of Columbia,60840
1987,District of Columbia,66430
1988,District of Columbia,62400
1989,District of Columbia,59800
1990,District of Columbia,58390
1991,District of Columbia,61470
1992,District of Columbia,60670
1993,District of Columbia,53450
1994,District of Columbia,57690
1995,District of Columbia,57540
1996,District of Columbia,58280
1997,District of Columbia,56870
1998,District of Columbia,58870
1999,District of Columbia,66710
2000,District of Columbia,68740
2001,District of Columbia,67140
2002,District of Columbia,62930
2003,District of Columbia,71080
2004,District of Columbia,66890
2005,District of Columbia,67310
2006,District of Columbia,70480
2007,District of Columbia,71980
2008,District of Columbia,76010
2009,District of Columbia,72960
2010,District of Columbia,77100
2011,District of Columbia,72570
2012,District of Columbia,84080
2013,District of Columbia,76460
2014,District of Columbia,85710
2015,District of Columbia,88030
2016,District of Columbia,88390
2017,District of Columbia,99470
2018,District of Columbia,102900
2019,District of Columbia,110100
2020,District of Columbia,103200
2021,District of Columbia,101500
2022,District of Columbia,105700
2023,District of Columbia,111000
1984,Florida,52020
1985,Florida,54270
1986,Florida,57160
1987,Florida,59250
1988,Florida,59280
1989,Florida,58310
1990,Florida,56880
1991,Florida,56050
1992,Florida,54860
1993,Florida,55880
1994,Florida,56110
1995,Florida,55660
1996,Florida,55860
1997,Florida,57930
1998,Florida,61470
1999,Florida,61810
2000,Florida,64800
2001,Florida,59400
2002,Florida,61250
2003,Florida,61490
2004,Florida,62400
2005,Florida,64310
2006,Florida,66410
2007,Florida,64910
2008,Florida,61340
2009,Florida,62650
2010,Florida,59680
2011,Florida,59250
2012,Florida,59370
2013,Florida,61790
2014,Florida,57920
2015,Florida,61340
2016,Florida,63730
2017,Florida,64960
2018,Florida,65550
2019,Florida,69000
2020,Florida,67570
2021,Florida,66890
2022,Florida,67960
2023,Florida,72200
1984,Georgia,52540
1985,Georgia,53520
1986,Georgia,60960
1987,Georgia,64640
1988,Georgia,61990
1989,Georgia,61560
1990,Georgia,58750
1991,Georgia,55970
1992,Georgia,57760
1993,Georgia,61980
1994,Georgia,60280
1995,Georgia,63810
1996,Georgia,59250
1997,Georgia,65440
1998,Georgia,68080
1999,Georgia,68010
2000,Georgia,69880
2001,Georgia,69440
2002,Georgia,69170
2003,Georgia,66960
2004,Georgia,63090
2005,Georgia,68710
2006,Georgia,71740
2007,Georgia,68950
2008,Georgia,63210
2009,Georgia,59500
2010,Georgia,59750
2011,Georgia,60390
2012,Georgia,62010
2013,Georgia,59830
2014,Georgia,62210
2015,Georgia,63780
2016,Georgia,66650
2017,Georgia,70960
2018,Georgia,66960
2019,Georgia,66940
2020,Georgia,69330
2021,Georgia,68860
2022,Georgia,70420
2023,Georgia,72420
1984,Hawaii,75920
1985,Hawaii,73640
1986,Hawaii,72550
1987,Hawaii,84740
1988,Hawaii,77060
1989,Hawaii,78310
1990,Hawaii,82960
1991,Hawaii,76610
1992,Hawaii,84470
1993,Hawaii,83510
1994,Hawaii,80940
1995,Hawaii,80190
1996,Hawaii,76160
1997,Hawaii,73060
1998,Hawaii,71890
1999,Hawaii,76780
2000,Hawaii,85960
2001,Hawaii,77370
2002,Hawaii,76200
2003,Hawaii,81790
2004,Hawaii,86580
2005,Hawaii,89140
2006,Hawaii,87910
2007,Hawaii,90750
2008,Hawaii,84120
2009,Hawaii,76400
2010,Hawaii,80630
2011,Hawaii,77560
2012,Hawaii,72500
2013,Hawaii,81780
2014,Hawaii,89410
2015,Hawaii,81050
2016,Hawaii,89820
2017,Hawaii,90070
2018,Hawaii,96100
2019,Hawaii,104000
2020,Hawaii,94560
2021,Hawaii,92050
2022,Hawaii,94620
2023,Hawaii,97360
1984,Idaho,55450
1985,Idaho,52790
1986,Idaho,51900
1987,Idaho,50220
1988,Idaho,54720
1989,Idaho,55110
1990,Idaho,53940
1991,Idaho,53720
1992,Idaho,55570
1993,Idaho,60700
1994,Idaho,60410
1995,Idaho,61150
1996,Idaho,63280
1997,Idaho,59620
1998,Idaho,64590
1999,Idaho,61760
2000,Idaho,62720
2001,Idaho,62370
2002,Idaho,60750
2003,Idaho,66860
2004,Idaho,68280
2005,Idaho,66090
2006,Idaho,67190
2007,Idaho,69720
2008,Idaho,64840
2009,Idaho,64220
2010,Idaho,63720
2011,Idaho,62340
2012,Idaho,61750
2013,Idaho,61710
2014,Idaho,67080
2015,Idaho,64850
2016,Idaho,70440
2017,Idaho,72810
2018,Idaho,70450
2019,Idaho,78000
2020,Idaho,78060
2021,Idaho,86130
2022,Idaho,75460
2023,Idaho,73910
1984,Illinois,62450
1985,Illinois,63230
1986,Illinois,66320
1987,Illinois,65530
1988,Illinois,68890
1989,Illinois,69960
1990,Illinois,69370
1991,Illinois,65580
1992,Illinois,63290
1993,Illinois,64320
1994,Illinois,67200
1995,Illinois,71240
1996,Illinois,72110
1997,Illinois,73690
1998,Illinois,76030
1999,Illinois,79930
2000,Illinois,76820
2001,Illinois,75300
2002,Illinois,68800
2003,Illinois,71250
2004,Illinois,70930
2005,Illinois,72410
2006,Illinois,70760
2007,Illinois,74430
2008,Illinois,72820
2009,Illinois,72580
2010,Illinois,68700
2011,Illinois,66510
2012,Illinois,66670
2013,Illinois,68670
2014,Illinois,68940
2015,Illinois,75900
2016,Illinois,76440
2017,Illinois,80730
2018,Illinois,84140
2019,Illinois,87950
2020,Illinois,86960
2021,Illinois,88750
2022,Illinois,81120
2023,Illinois,87820
1984,Indiana,59860
1985,Indiana,57650
1986,Indiana,56850
1987,Indiana,54490
1988,Indiana,61350
1989,Indiana,57890
1990,Indiana,57400
1991,Indiana,55720
1992,Indiana,57230
1993,Indiana,57700
1994,Indiana,53360
1995,Indiana,62470
1996,Indiana,64080
1997,Indiana,69410
1998,Indiana,69960
1999,Indiana,70450
2000,Indiana,68150
2001,Indiana,65850
2002,Indiana,66120
2003,Indiana,66940
2004,Indiana,65160
2005,Indiana,63490
2006,Indiana,66010
2007,Indiana,67260
2008,Indiana,63610
2009,Indiana,60830
2010,Indiana,62490
2011,Indiana,58380
2012,Indiana,59480
2013,Indiana,62970
2014,Indiana,60330
2015,Indiana,65310
2016,Indiana,69850
2017,Indiana,71920
2018,Indiana,71850
2019,Indiana,78840
2020,Indiana,78150
2021,Indiana,78600
2022,Indiana,72810
2023,Indiana,76910
1984,Iowa,52220
1985,Iowa,53210
1986,Iowa,56180
1987,Iowa,53690
1988,Iowa,56710
1989,Iowa,58710
1990,Iowa,58170
1991,Iowa,58730
1992,Iowa,57660
1993,Iowa,56110
1994,Iowa,63360
1995,Iowa,66470
1996,Iowa,60550
1997,Iowa,60300
1998,Iowa,65190
1999,Iowa,70900
2000,Iowa,68360
2001,Iowa,66830
2002,Iowa,66120
2003,Iowa,65300
2004,Iowa,66790
2005,Iowa,69570
2006,Iowa,69970
2007,Iowa,69330
2008,Iowa,68560
2009,Iowa,69630
2010,Iowa,66380
2011,Iowa,65960
2012,Iowa,68870
2013,Iowa,76590
2014,Iowa,72570
2015,Iowa,76450
2016,Iowa,73590
2017,Iowa,77670
2018,Iowa,82430
2019,Iowa,78080
2020,Iowa,80510
2021,Iowa,81110
2022,Iowa,79350
2023,Iowa,80860
1984,Kansas,64750
1985,Kansas,57940
1986,Kansas,59850
1987,Kansas,61900
1988,Kansas,59650
1989,Kansas,60040
1990,Kansas,63770
1991,Kansas,60250
1992,Kansas,60870
1993,Kansas,58270
1994,Kansas,54250
1995,Kansas,56780
1996,Kansas,59410
1997,Kansas,65100
1998,Kansas,64640
1999,Kansas,64430
2000,Kansas,68470
2001,Kansas,67540
2002,Kansas,68650
2003,Kansas,69790
2004,Kansas,63220
2005,Kansas,62870
2006,Kansas,66230
2007,Kansas,68740
2008,Kansas,65470
2009,Kansas,61390
2010,Kansas,62370
2011,Kansas,60610
2012,Kansas,64440
2013,Kansas,60880
2014,Kansas,67090
2015,Kansas,68930
2016,Kansas,70740
2017,Kansas,69630
2018,Kansas,76700
2019,Kansas,86470
2020,Kansas,85500
2021,Kansas,85080
2022,Kansas,75950
2023,Kansas,84830
1984,Kentucky,46480
1985,Kentucky,44140
1986,Kentucky,49710
1987,Kentucky,50020
1988,Kentucky,46450
1989,Kentucky,52040
1990,Kentucky,52820
1991,Kentucky,48880
1992,Kentucky,47110
1993,Kentucky,47710
1994,Kentucky,50940
1995,Kentucky,55780
1996,Kentucky,59090
1997,Kentucky,59710
1998,Kentucky,63840
1999,Kentucky,58200
2000,Kentucky,60480
2001,Kentucky,62690
2002,Kentucky,59220
2003,Kentucky,58280
2004,Kentucky,54820
2005,Kentucky,54900
2006,Kentucky,57410
2007,Kentucky,55920
2008,Kentucky,56260
2009,Kentucky,58570
2010,Kentucky,55670
2011,Kentucky,52350
2012,Kentucky,52940
2013,Kentucky,57140
2014,Kentucky,53710
2015,Kentucky,53250
2016,Kentucky,56500
2017,Kentucky,60790
2018,Kentucky,65440
2019,Kentucky,65800
2020,Kentucky,66400
2021,Kentucky,62290
2022,Kentucky,58090
2023,Kentucky,61980
1984,Louisiana,49820
1985,Louisiana,53850
1986,Louisiana,52260
1987,Louisiana,51660
1988,Louisiana,47830
1989,Louisiana,51100
1990,Louisiana,47760
1991,Louisiana,52040
1992,Louisiana,51030
1993,Louisiana,51500
1994,Louisiana,49180
1995,Louisiana,52300
1996,Louisiana,55170
1997,Louisiana,59370
1998,Louisiana,55880
1999,Louisiana,56330
2000,Louisiana,51230
2001,Louisiana,54340
2002,Louisiana,54780
2003,Louisiana,52870
2004,Louisiana,56080
2005,Louisiana,55710
2006,Louisiana,53050
2007,Louisiana,58560
2008,Louisiana,54100
2009,Louisiana,62370
2010,Louisiana,53220
2011,Louisiana,53400
2012,Louisiana,50370
2013,Louisiana,59110
2014,Louisiana,53230
2015,Louisiana,57690
2016,Louisiana,52540
2017,Louisiana,53310
2018,Louisiana,59950
2019,Louisiana,61120
2020,Louisiana,59880
2021,Louisiana,64060
2022,Louisiana,60640
2023,Louisiana,57650
1984,Maine,54280
1985,Maine,52170
1986,Maine,58590
1987,Maine,57100
1988,Maine,61600
1989,Maine,63080
1990,Maine,58540
1991,Maine,57320
1992,Maine,59410
1993,Maine,53710
1994,Maine,58070
1995,Maine,63360
1996,Maine,63260
1997,Maine,58490
1998,Maine,62760
1999,Maine,67040
2000,Maine,62150
2001,Maine,59710
2002,Maine,59360
2003,Maine,58560
2004,Maine,63620
2005,Maine,65710
2006,Maine,66360
2007,Maine,67890
2008,Maine,64580
2009,Maine,65210
2010,Maine,64910
2011,Maine,65270
2012,Maine,63350
2013,Maine,69970
2014,Maine,64910
2015,Maine,63760
2016,Maine,63330
2017,Maine,65240
2018,Maine,70370
2019,Maine,78660
2020,Maine,74510
2021,Maine,79660
2022,Maine,78150
2023,Maine,75740
1984,Maryland,78100
1985,Maryland,76620
1986,Maryland,76560
1987,Maryland,84610
1988,Maryland,85290
1989,Maryland,80500
1990,Maryland,82830
1991,Maryland,76000
1992,Maryland,74630
1993,Maryland,78180
1994,Maryland,75090
1995,Maryland,76800
1996,Maryland,80210
1997,Maryland,83330
1998,Maryland,88070
1999,Maryland,90060
2000,Maryland,90950
2001,Maryland,87300
2002,Maryland,90860
2003,Maryland,82550
2004,Maryland,87900
2005,Maryland,90530
2006,Maryland,92560
2007,Maryland,93030
2008,Maryland,87120
2009,Maryland,88120
2010,Maryland,86950
2011,Maryland,90470
2012,Maryland,92570
2013,Maryland,88300
2014,Maryland,95610
2015,Maryland,92450
2016,Maryland,91850
2017,Maryland,100500
2018,Maryland,103400
2019,Maryland,113000
2020,Maryland,110900
2021,Maryland,109000
2022,Maryland,112500
2023,Maryland,102000
1984,Massachusetts,70880
1985,Massachusetts,71720
1986,Massachusetts,75890
1987,Massachusetts,78010
1988,Massachusetts,77500
1989,Massachusetts,80660
1990,Massachusetts,77260
1991,Massachusetts,73460
1992,Massachusetts,72930
1993,Massachusetts,72550
1994,Massachusetts,77580
1995,Massachusetts,72180
1996,Massachusetts,72000
1997,Massachusetts,75010
1998,Massachusetts,74560
1999,Massachusetts,75920
2000,Massachusetts,77970
2001,Massachusetts,85220
2002,Massachusetts,80310
2003,Massachusetts,80400
2004,Massachusetts,80080
2005,Massachusetts,83800
2006,Massachusetts,80440
2007,Massachusetts,82870
2008,Massachusetts,82480
2009,Massachusetts,81510
2010,Massachusetts,82520
2011,Massachusetts,83160
2012,Massachusetts,82030
2013,Massachusetts,79610
2014,Massachusetts,79280
2015,Massachusetts,85250
2016,Massachusetts,89990
2017,Massachusetts,93300
2018,Massachusetts,103600
2019,Massachusetts,103700
2020,Massachusetts,102700
2021,Massachusetts,96940
2022,Massachusetts,97260
2023,Massachusetts,106500
1984,Michigan,60380
1985,Michigan,61640
1986,Michigan,66550
1987,Michigan,67030
1988,Michigan,68770
1989,Michigan,68790
1990,Michigan,63810
1991,Michigan,66060
1992,Michigan,64720
1993,Michigan,63930
1994,Michigan,67590
1995,Michigan,68160
1996,Michigan,71510
1997,Michigan,69150
1998,Michigan,73640
1999,Michigan,79510
2000,Michigan,75900
2001,Michigan,73470
2002,Michigan,68810
2003,Michigan,71040
2004,Michigan,65050
2005,Michigan,68720
2006,Michigan,70730
2007,Michigan,69980
2008,Michigan,68080
2009,Michigan,63140
2010,Michigan,62670
2011,Michigan,64200
2012,Michigan,64450
2013,Michigan,72020
2014,Michigan,65280
2015,Michigan,68090
2016,Michigan,71090
2017,Michigan,69030
2018,Michigan,72510
2019,Michigan,75790
2020,Michigan,75330
2021,Michigan,72210
2022,Michigan,71730
2023,Michigan,76960
1984,Minnesota,64240
1985,Minnesota,60660
1986,Minnesota,66150
1987,Minnesota,67950
1988,Minnesota,67870
1989,Minnesota,67470
1990,Minnesota,67070
1991,Minnesota,60630
1992,Minnesota,62140
1993,Minnesota,65930
1994,Minnesota,64450
1995,Minnesota,70980
1996,Minnesota,74730
1997,Minnesota,75970
1998,Minnesota,84390
1999,Minnesota,81150
2000,Minnesota,90470
2001,Minnesota,85920
2002,Minnesota,87980
2003,Minnesota,83350
2004,Minnesota,86360
2005,Minnesota,81110
2006,Minnesota,81720
2007,Minnesota,82300
2008,Minnesota,75100
2009,Minnesota,77000
2010,Minnesota,70860
2011,Minnesota,75950
2012,Minnesota,79630
2013,Minnesota,81900
2014,Minnesota,84410
2015,Minnesota,86340
2016,Minnesota,87440
2017,Minnesota,85630
2018,Minnesota,86150
2019,Minnesota,96250
2020,Minnesota,92130
2021,Minnesota,90080
2022,Minnesota,93980
2023,Minnesota,90340
1984,Mississippi,40570
1985,Mississippi,41730
1986,Mississippi,41310
1987,Mississippi,44790
1988,Mississippi,42390
1989,Mississippi,44520
1990,Mississippi,43010
1991,Mississippi,40060
1992,Mississippi,41260
1993,Mississippi,43440
1994,Mississippi,48650
1995,Mississippi,49660
1996,Mississippi,48640
1997,Mississippi,50870
1998,Mississippi,51280
1999,Mississippi,56030
2000,Mississippi,57200
2001,Mississippi,49190
2002,Mississippi,49740
2003,Mississippi,51640
2004,Mississippi,53500
2005,Mississippi,49180
2006,Mississippi,50500
2007,Mississippi,52840
2008,Mississippi,49830
2009,Mississippi,48160
2010,Mississippi,51680
2011,Mississippi,53970
2012,Mississippi,47220
2013,Mississippi,41170
2014,Mississippi,44590
2015,Mississippi,50300
2016,Mississippi,51180
2017,Mississippi,52960
2018,Mississippi,51320
2019,Mississippi,52940
2020,Mississippi,52800
2021,Mississippi,52230
2022,Mississippi,50540
2023,Mississippi,55060
1984,Missouri,54620
1985,Missouri,55780
1986,Missouri,54840
1987,Missouri,57390
1988,Missouri,54700
1989,Missouri,59230
1990,Missouri,58260
1991,Missouri,57440
1992,Missouri,54880
1993,Missouri,56140
1994,Missouri,57830
1995,Missouri,65170
1996,Missouri,62470
1997,Missouri,65240
1998,Missouri,70790
1999,Missouri,71390
2000,Missouri,75210
2001,Missouri,67420
2002,Missouri,68900
2003,Missouri,69050
2004,Missouri,64860
2005,Missouri,64310
2006,Missouri,64810
2007,Missouri,65210
2008,Missouri,62950
2009,Missouri,66950
2010,Missouri,62050
2011,Missouri,60120
2012,Missouri,64130
2013,Missouri,58950
2014,Missouri,71090
2015,Missouri,74370
2016,Missouri,68510
2017,Missouri,69180
2018,Missouri,74050
2019,Missouri,71630
2020,Missouri,72740
2021,Missouri,71210
2022,Missouri,74360
2023,Missouri,78290
1984,Montana,51360
